"product","total_quantity_sold","total_orders","profit_margin","turnover_ratio"
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order","1","1","-0.10588235294117647059","1"
"Xerox 20","1","1","0.48000000000000000000","1"
"Boston 1900 Electric Pencil Sharpener","1","1","0.30000000000000000000","1"
"Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs","1","1","0.12500000000000000000","1"
"Penpower WorldCard Pro Card Scanner","1","1","-0.02000000000000000000","1"
"Bush Cubix Collection Bookcases, Fully Assembled","4","3","0.06666666666666666667","1.3333333333333333"
"Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop","4","3","0.21111111111111111111","1.3333333333333333"
"Sharp 1540cs Digital Laser Copier","10","7","0.37500000000000000000","1.4285714285714286"
"Hammermill Color Copier Paper (28Lb. and 96 Bright)","3","2","0.45000000000000000000","1.5"
"Acco Economy Flexible Poly Round Ring Binder","6","4","-0.50000000000000000000","1.5"
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock","3","2","0.38000000000000000000","1.5"
"Color-Coded Legal Exhibit Labels","3","2","0.49000000000000000000","1.5"
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors","3","2","-0.28313253012048192771","1.5"
"Fiskars Spring-Action Scissors","6","4","0.17777777777777777778","1.5"
"Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum","6","4","0.04545454545454545455","1.5"
"3D Systems Cube Printer, 2nd Generation, White","3","2","-0.20000000000000000000","1.5"
"Okidata B400 Printer","3","2","0.11250000000000000000","1.5"
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606","3","2","0.30000000000000000000","1.5"
"Xerox 218","8","5","0.45263157894736842105","1.6"
"Faber Castell Col-Erase Pencils","8","5","0.37894736842105263158","1.6"
"Telescoping Adjustable Floor Lamp","10","6","-0.04166666666666666667","1.6666666666666667"
"SANFORD Liquid Accent Tank-Style Highlighters","5","3","0.31000000000000000000","1.6666666666666667"
"Riverside Furniture Stanwyck Manor Table Series","5","3","-0.45312500000000000000","1.6666666666666667"
"Westinghouse Floor Lamp with Metal Mesh Shade, Black","7","4","0.23000000000000000000","1.75"
"Safco Steel Mobile File Cart","9","5","0.17682926829268292683","1.8"
"i.Sound Portable Power - 8000 mAh","9","5","-0.14230769230769230769","1.8"
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables","11","6","-0.14230769230769230769","1.8333333333333333"
"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","11","6","0.30192307692307692308","1.8333333333333333"
"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size","6","3","0.40000000000000000000","2"
"PNY Rapid USB Car Charger - Black","2","1","-0.21666666666666666667","2"
"Plastic Stacking Crates & Casters","8","4","0.07500000000000000000","2"
"Xerox 1989","2","1","0.33750000000000000000","2"
"Classic Ivory Antique Telephone ZL1810","4","2","0.11764705882352941176","2"
"Cisco CP-7937G Unified IP Conference Station Phone","4","2","-0.04000000000000000000","2"
"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier","2","1","0.50000000000000000000","2"
"Bush Mission Pointe Library","6","3","0.03225806451612903226","2"
"Xerox 1984","2","1","0.49000000000000000000","2"
"Xerox 1972","10","5","0.37500000000000000000","2"
"Xerox 1969","2","1","0.49000000000000000000","2"
"Eldon Cleatmat Chair Mats for Medium Pile Carpets","8","4","-0.12258064516129032258","2"
"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner","4","2","0.43000000000000000000","2"
"Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac","2","1","-2.7500000000000000","2"
"Executive Impressions 16-1/2"" Circular Wall Clock","4","2","-0.01818181818181818182","2"
"Bevis Round Conference Room Tables and Bases","4","2","-0.07586206896551724138","2"
"Xerox 1902","4","2","0.40000000000000000000","2"
"First Data TMFD35 PIN Pad","4","2","0.21000000000000000000","2"
"Acco Perma 2700 Stacking Storage Drawers","8","4","0.02857142857142857143","2"
"Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors","4","2","0.30000000000000000000","2"
"Wirebound Voice Message Log Book","4","2","0.32500000000000000000","2"
"Belkin 7-Outlet SurgeMaster Home Series","10","5","0.02631578947368421053","2"
"Grip Seal Envelopes","2","1","0.33750000000000000000","2"
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops","2","1","0.11250000000000000000","2"
"Wilson Jones Hanging Recycled Pressboard Data Binders","4","2","0.05454545454545454545","2"
"Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner","2","1","-0.70000000000000000000","2"
"Verbatim Slim CD and DVD Storage Cases, 50/Pack","8","4","0.20000000000000000000","2"
"Hon 30"" x 60"" Table with Locking Drawer","6","3","-0.13684210526315789474","2"
"Ultra Commercial Grade Dual Valve Door Closer","2","1","0.15000000000000000000","2"
"Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup","6","3","-0.00909090909090909091","2"
"Turquoise Lead Holder with Pocket Clip","6","3","0.28214285714285714286","2"
"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax","4","2","0.10666666666666666667","2"
"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black","8","4","0.18888888888888888889","2"
"Avery Hi-Liter Pen Style Six-Color Fluorescent Set","2","1","0.41000000000000000000","2"
"Ibico Recycled Grain-Textured Covers","8","4","0.02439024390243902439","2"
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""","4","2","-0.25714285714285714286","2"
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink","4","2","0.39000000000000000000","2"
"Jiffy Padded Mailers with Self-Seal Closure","2","1","0.36250000000000000000","2"
"Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection","8","4","0.21126760563380281690","2"
"KeyTronic KT800P2 - Keyboard - Black","6","3","0.01600000000000000000","2"
"Star Micronics TSP800 TSP847IIU Receipt Printer","4","2","0.28000000000000000000","2"
"Avery Binder Labels","8","4","0.37910447761194029851","2"
"Speck Products Candyshell Flip Case","8","4","-0.09629629629629629630","2"
"Letter Slitter","4","2","0.03000000000000000000","2"
"Logitech Wireless Boombox Speaker - portable - wireless, wired","4","2","0.38888888888888888889","2"
"Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5","6","3","0.02173913043478260870","2"
"Avery 5","2","1","0.49000000000000000000","2"
